,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
0,18,student,single,primary,no,608,no,no,cellular,12,aug,267,1,-1,0,unknown,yes
1,18,student,single,primary,no,608,no,no,cellular,13,nov,210,1,93,1,success,yes
2,18,student,single,secondary,no,5,no,no,cellular,24,aug,143,2,-1,0,unknown,no
3,18,student,single,unknown,no,108,no,no,cellular,9,feb,92,1,183,1,success,yes
4,18,student,single,unknown,no,108,no,no,cellular,10,aug,167,1,-1,0,unknown,yes
5,18,student,single,unknown,no,348,no,no,cellular,5,may,443,4,-1,0,unknown,yes
6,19,student,single,primary,no,103,no,no,cellular,10,jul,104,2,-1,0,unknown,yes
7,19,student,single,primary,no,134,no,no,cellular,27,mar,271,2,-1,0,unknown,yes
8,19,student,single,primary,no,608,no,no,cellular,12,may,236,1,180,2,success,yes
9,19,student,single,secondary,no,55,no,no,telephone,6,oct,89,2,193,1,other,no
10,19,student,single,secondary,no,329,no,no,cellular,22,oct,252,2,-1,0,unknown,yes
11,19,student,single,secondary,no,329,no,no,cellular,30,apr,169,1,190,2,success,yes
12,19,student,single,secondary,no,372,no,no,telephone,8,jul,444,3,-1,0,unknown,yes
13,19,student,single,secondary,no,394,no,no,cellular,5,apr,327,3,-1,0,unknown,yes
14,19,student,single,unknown,no,60,no,no,cellular,14,aug,253,1,-1,0,unknown,no
15,19,student,single,unknown,no,108,no,no,cellular,9,mar,273,2,182,1,success,yes
16,19,student,single,unknown,no,779,no,no,cellular,1,apr,184,4,-1,0,unknown,yes
17,20,admin.,single,secondary,no,336,no,yes,cellular,5,jun,133,1,-1,0,unknown,no
18,20,blue-collar,single,secondary,no,423,yes,no,cellular,16,apr,498,1,-1,0,unknown,yes
19,20,student,married,unknown,no,292,no,no,cellular,5,aug,385,2,93,1,failure,yes
20,20,student,single,primary,no,0,no,no,cellular,1,feb,143,5,91,8,failure,no
21,20,student,single,primary,no,134,no,no,cellular,12,jul,273,1,277,3,other,no
22,20,student,single,secondary,no,130,no,no,telephone,4,may,75,3,-1,0,unknown,no
23,20,student,single,secondary,no,153,no,no,unknown,21,jun,100,1,-1,0,unknown,yes
24,20,student,single,secondary,no,215,no,no,cellular,21,aug,228,4,183,1,other,yes
25,20,student,single,secondary,no,215,no,no,cellular,24,nov,325,1,95,5,success,yes
26,20,student,single,secondary,no,502,no,no,cellular,30,apr,261,1,-1,0,unknown,yes
27,20,student,single,secondary,no,1819,no,no,cellular,9,apr,245,3,-1,0,unknown,yes
28,20,student,single,unknown,no,755,no,no,cellular,29,dec,284,1,-1,0,unknown,yes
29,20,student,single,unknown,no,2785,no,no,cellular,16,sep,327,2,-1,0,unknown,yes
30,21,blue-collar,married,primary,no,-172,yes,yes,cellular,15,may,409,1,361,3,failure,yes
31,21,blue-collar,single,secondary,no,2265,no,no,cellular,17,feb,92,2,-1,0,unknown,yes
32,21,blue-collar,single,secondary,no,2265,no,no,cellular,27,may,156,4,99,2,success,no
33,21,entrepreneur,single,tertiary,no,2077,no,no,cellular,5,aug,323,1,-1,0,unknown,yes
34,21,management,single,tertiary,no,243,no,yes,cellular,17,jun,181,2,-1,0,unknown,no
35,21,services,single,secondary,no,361,no,no,telephone,5,jun,329,1,95,1,other,no
36,21,student,single,secondary,no,71,no,no,cellular,13,jan,169,2,-1,0,unknown,yes
37,21,student,single,secondary,no,123,no,no,telephone,12,feb,379,5,93,2,success,yes
38,21,student,single,secondary,no,215,no,no,cellular,24,may,382,1,89,7,success,yes
39,21,student,single,secondary,no,224,no,no,cellular,30,apr,871,1,-1,0,unknown,yes
40,21,student,single,secondary,no,357,no,no,cellular,2,sep,115,3,-1,0,unknown,no
41,21,student,single,secondary,no,794,no,no,cellular,5,jun,191,1,-1,0,unknown,yes
42,21,student,single,secondary,no,2488,no,no,cellular,12,oct,180,1,-1,0,unknown,yes
43,21,student,single,secondary,no,2488,no,no,cellular,30,jun,258,6,169,3,success,yes
44,21,student,single,secondary,no,2488,no,no,telephone,12,jan,661,2,92,1,success,yes
45,21,student,single,tertiary,no,1258,no,no,cellular,7,jul,404,1,-1,0,unknown,no
46,21,student,single,unknown,no,53,no,no,cellular,14,jun,270,1,-1,0,unknown,yes
47,21,student,single,unknown,no,200,no,no,unknown,1,jun,8,1,-1,0,unknown,no
48,21,student,single,unknown,no,1506,no,no,cellular,14,sep,340,1,-1,0,unknown,yes
49,21,technician,single,unknown,no,360,no,no,cellular,26,may,131,2,-1,0,unknown,yes
50,22,admin.,single,secondary,no,33,no,no,cellular,12,feb,369,1,-1,0,unknown,yes
51,22,admin.,single,secondary,no,114,no,no,cellular,30,mar,517,1,-1,0,unknown,yes
52,22,admin.,single,tertiary,no,897,yes,no,cellular,4,feb,133,4,-1,0,unknown,yes
53,22,blue-collar,single,secondary,no,-51,yes,no,cellular,15,may,859,1,-1,0,unknown,yes
54,22,blue-collar,single,secondary,no,682,no,no,cellular,5,jun,126,2,91,1,success,yes
55,22,housemaid,single,secondary,no,1796,no,no,cellular,28,jun,369,3,-1,0,unknown,yes
56,22,management,single,tertiary,no,104,no,yes,cellular,16,apr,330,3,-1,0,unknown,yes
57,22,management,single,tertiary,no,104,no,yes,cellular,18,oct,509,1,185,3,success,yes
58,22,management,single,tertiary,no,760,no,no,telephone,7,dec,6,1,-1,0,unknown,no
59,22,self-employed,single,secondary,no,2138,no,yes,cellular,10,aug,164,1,109,2,other,yes
60,22,self-employed,single,tertiary,no,780,no,no,cellular,17,mar,272,3,-1,0,unknown,yes
61,22,services,single,secondary,no,129,no,no,cellular,15,apr,218,2,181,1,success,yes
62,22,services,single,secondary,no,129,no,no,cellular,16,oct,258,1,-1,0,unknown,yes
63,22,services,single,secondary,no,344,yes,no,cellular,18,may,347,1,-1,0,unknown,yes
64,22,student,single,primary,no,423,no,no,cellular,16,jul,316,1,179,10,success,yes
65,22,student,single,primary,no,3472,no,no,cellular,19,apr,529,1,181,4,success,yes
66,22,student,single,secondary,no,0,no,no,cellular,6,feb,229,6,-1,0,unknown,yes
67,22,student,single,secondary,no,23,no,no,cellular,27,oct,137,1,-1,0,unknown,yes
68,22,student,single,secondary,no,64,no,no,cellular,4,jun,112,1,-1,0,unknown,no
69,22,student,single,secondary,no,71,no,no,cellular,13,jul,337,1,181,2,success,yes
70,22,student,single,secondary,no,144,no,no,cellular,21,aug,116,1,-1,0,unknown,yes
71,22,student,single,secondary,no,185,no,no,cellular,8,jul,153,1,-1,0,unknown,yes
72,22,student,single,secondary,no,216,no,no,cellular,8,feb,363,1,187,1,success,yes
73,22,student,single,secondary,no,254,no,no,cellular,13,jan,143,2,-1,0,unknown,yes
74,22,student,single,secondary,no,381,no,no,cellular,12,feb,227,1,-1,0,unknown,yes
75,22,student,single,secondary,no,948,no,no,telephone,18,aug,215,1,197,2,failure,yes
76,22,student,single,secondary,no,948,no,no,telephone,25,feb,169,1,191,3,success,yes
77,22,student,single,secondary,no,1522,no,no,cellular,30,oct,368,2,-1,0,unknown,yes
78,22,student,single,secondary,no,2162,no,no,telephone,2,feb,168,1,-1,0,unknown,no
79,22,student,single,secondary,no,2488,no,no,cellular,8,nov,449,2,38,10,other,yes
80,22,student,single,secondary,no,3982,no,no,cellular,20,apr,206,1,-1,0,unknown,yes
81,22,student,single,tertiary,no,691,no,no,cellular,30,nov,260,5,103,1,success,yes
82,22,student,single,tertiary,no,1161,no,yes,cellular,16,jun,119,1,-1,0,unknown,no
83,22,student,single,unknown,no,466,no,no,cellular,30,jun,377,1,-1,0,unknown,yes
84,22,student,single,unknown,no,549,no,no,cellular,2,sep,154,1,-1,0,unknown,no
85,22,student,single,unknown,no,1215,no,no,cellular,19,feb,145,3,192,1,failure,yes
86,22,student,single,unknown,no,3317,no,no,cellular,10,aug,148,1,-1,0,unknown,no
87,22,technician,single,secondary,no,283,yes,no,cellular,22,mar,254,2,-1,0,unknown,yes
88,22,unemployed,single,tertiary,no,993,no,no,cellular,28,jul,115,3,93,1,other,yes
89,23,admin.,married,secondary,no,299,yes,no,unknown,19,jun,104,1,-1,0,unknown,no
90,23,admin.,single,secondary,no,252,yes,no,cellular,15,may,56,1,-1,0,unknown,no
91,23,admin.,single,tertiary,no,897,yes,no,cellular,8,feb,190,2,280,8,failure,yes
92,23,blue-collar,married,secondary,no,94,yes,no,unknown,5,may,193,1,-1,0,unknown,no
93,23,blue-collar,married,secondary,no,272,no,no,cellular,14,aug,100,2,-1,0,unknown,yes
94,23,blue-collar,single,secondary,no,0,yes,no,cellular,8,may,6,5,350,2,failure,no
95,23,blue-collar,single,secondary,no,105,yes,no,unknown,16,may,498,2,-1,0,unknown,no
96,23,blue-collar,single,secondary,no,492,yes,no,unknown,4,jun,638,1,-1,0,unknown,yes
97,23,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,395,2,-1,0,unknown,yes
98,23,management,single,tertiary,no,2143,no,no,cellular,30,mar,180,2,-1,0,unknown,yes
99,23,self-employed,single,tertiary,no,780,no,no,cellular,16,sep,393,1,183,3,success,yes
100,23,services,single,secondary,no,31,no,no,cellular,1,jun,192,1,-1,0,unknown,yes
101,23,services,single,secondary,no,279,yes,no,cellular,18,may,843,1,370,1,failure,yes
102,23,services,single,secondary,no,425,yes,no,unknown,3,jun,768,1,-1,0,unknown,yes
103,23,services,single,secondary,no,488,no,no,cellular,29,jun,205,1,91,3,success,yes
104,23,services,single,secondary,no,488,no,no,cellular,30,mar,236,1,92,2,other,yes
105,23,services,single,secondary,no,665,yes,no,unknown,28,may,1183,1,-1,0,unknown,yes
106,23,services,single,secondary,no,870,no,no,cellular,6,jul,316,4,-1,0,unknown,yes
107,23,services,single,secondary,no,870,no,no,cellular,29,dec,296,1,176,4,success,yes
108,23,student,single,secondary,no,0,no,no,cellular,7,aug,217,1,99,7,success,yes
109,23,student,single,secondary,no,107,no,no,cellular,13,apr,256,5,181,2,success,yes
110,23,student,single,secondary,no,107,no,no,cellular,14,oct,84,1,183,1,success,yes
111,23,student,single,secondary,no,431,no,no,cellular,15,feb,201,3,186,2,success,yes
112,23,student,single,secondary,no,480,no,no,cellular,9,feb,742,2,182,1,failure,yes
113,23,student,single,secondary,no,556,yes,no,cellular,15,may,170,2,-1,0,unknown,no
